route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
10,1,"10","VAN HORNE",,700,,ED1C24,FFFFFF
100,1,"100","FLEMINGDON PARK",,700,,ED1C24,FFFFFF
101,1,"101","DOWNSVIEW PARK",,700,,ED1C24,FFFFFF
102,1,"102","MARKHAM RD",,700,,ED1C24,FFFFFF
103,1,"103","MOUNT PLEASANT NORTH",,700,,ED1C24,FFFFFF
104,1,"104","FAYWOOD",,700,,ED1C24,FFFFFF
105,1,"105","DUFFERIN NORTH",,700,,ED1C24,FFFFFF
106,1,"106","SENTINEL",,700,,ED1C24,FFFFFF
107,1,"107","YORK UNIVERSITY HEIGHTS",,700,,ED1C24,FFFFFF
108,1,"108","DRIFTWOOD",,700,,ED1C24,FFFFFF
109,1,"109","RANEE",,700,,ED1C24,FFFFFF
11,1,"11","BAYVIEW",,700,,ED1C24,FFFFFF
110,1,"110","ISLINGTON SOUTH",,700,,ED1C24,FFFFFF
111,1,"111","EAST MALL",,700,,ED1C24,FFFFFF
112,1,"112","WEST MALL",,700,,ED1C24,FFFFFF
113,1,"113","DANFORTH",,700,,ED1C24,FFFFFF
114,1,"114","QUEENS QUAY EAST",,700,,ED1C24,FFFFFF
115,1,"115","SILVER HILLS",,700,,ED1C24,FFFFFF
116,1,"116","MORNINGSIDE",,700,,ED1C24,FFFFFF
117,1,"117","BIRCHMOUNT SOUTH",,700,,ED1C24,FFFFFF
118,1,"118","THISTLE DOWN",,700,,ED1C24,FFFFFF
119,1,"119","TORBARRIE",,700,,ED1C24,FFFFFF
12,1,"12","KINGSTON RD",,700,,ED1C24,FFFFFF
120,1,"120","CALVINGTON",,700,,ED1C24,FFFFFF
121,1,"121","ESPLANADE-RIVER",,700,,ED1C24,FFFFFF
122,1,"122","GRAYDON HALL",,700,,ED1C24,FFFFFF
123,1,"123","SHERWAY",,700,,ED1C24,FFFFFF
124,1,"124","SUNNYBROOK",,700,,ED1C24,FFFFFF
125,1,"125","DREWRY",,700,,ED1C24,FFFFFF
126,1,"126","CHRISTIE",,700,,ED1C24,FFFFFF
127,1,"127","DAVENPORT",,700,,ED1C24,FFFFFF
128,1,"128","STANLEY GREENE",,700,,ED1C24,FFFFFF
129,1,"129","MCCOWAN NORTH",,700,,ED1C24,FFFFFF
13,1,"13","AVENUE RD",,700,,ED1C24,FFFFFF
130,1,"130","MIDDLEFIELD",,700,,ED1C24,FFFFFF
131,1,"131","NUGGET",,700,,ED1C24,FFFFFF
132,1,"132","MILNER",,700,,ED1C24,FFFFFF
133,1,"133","NEILSON",,700,,ED1C24,FFFFFF
134,1,"134","PROGRESS",,700,,ED1C24,FFFFFF
135,1,"135","GERRARD",,700,,ED1C24,FFFFFF
14,1,"14","GLENCAIRN",,700,,ED1C24,FFFFFF
